version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,Sri Lanka
info,gender,male
info,season,2008/09
info,date,2009/01/20
info,event,Sri Lanka in Pakistan ODI Series
info,match_number,1
info,venue,National Stadium
info,city,Karachi
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,Salman Butt
info,umpire,NJ Llong
info,umpire,Nadeem Ghauri
info,reserve_umpire,Saleem Badar
info,tv_umpire,Ahsan Raza
info,match_referee,BC Broad
info,winner,Pakistan
info,winner_wickets,8
info,player,Pakistan,Khurram Manzoor
info,player,Pakistan,Salman Butt
info,player,Pakistan,Younis Khan
info,player,Pakistan,Shoaib Malik
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Shahid Afridi
info,player,Pakistan,Kamran Akmal
info,player,Pakistan,Sohail Tanvir
info,player,Pakistan,Umar Gul
info,player,Pakistan,Iftikhar Anjum
info,player,Pakistan,Shoaib Akhtar
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,ST Jayasuriya
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,CK Kapugedera
info,player,Sri Lanka,J Mubarak
info,player,Sri Lanka,MF Maharoof
info,player,Sri Lanka,T Thushara
info,player,Sri Lanka,KMDN Kulasekara
info,player,Sri Lanka,M Muralitharan
info,player,Sri Lanka,BAW Mendis
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,BAW Mendis,ea0cdc12
info,registry,people,BC Broad,d6a7dd38
info,registry,people,CK Kapugedera,cfad138c
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,Iftikhar Anjum,6adf9347
info,registry,people,J Mubarak,a9520ac2
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,KMDN Kulasekara,469ea22b
info,registry,people,Kamran Akmal,ff077124
info,registry,people,Khurram Manzoor,82c78845
info,registry,people,M Muralitharan,4ba44e19
info,registry,people,MF Maharoof,ab89348d
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,NJ Llong,573fb985
info,registry,people,Nadeem Ghauri,8387d138
info,registry,people,ST Jayasuriya,f233bbb4
info,registry,people,Saleem Badar,a47041a5
info,registry,people,Salman Butt,4d6d6280
info,registry,people,Shahid Afridi,0dc00542
info,registry,people,Shoaib Akhtar,10a91f35
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Sohail Tanvir,64d43928
info,registry,people,T Thushara,b2ae53f5
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,Umar Gul,16dfcc19
info,registry,people,Younis Khan,33cb3411
