version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,South Africa
info,gender,male
info,season,2014/15
info,date,2015/03/07
info,event,ICC Cricket World Cup
info,match_number,29
info,venue,Eden Park
info,city,Auckland
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,Sarfraz Ahmed
info,umpire,RA Kettleborough
info,umpire,BNJ Oxenford
info,reserve_umpire,S Ravi
info,tv_umpire,CB Gaffaney
info,match_referee,BC Broad
info,winner,Pakistan
info,winner_runs,29
info,method,D/L
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Ahmed Shehzad
info,player,Pakistan,Younis Khan
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Sohaib Maqsood
info,player,Pakistan,Umar Akmal
info,player,Pakistan,Shahid Afridi
info,player,Pakistan,Wahab Riaz
info,player,Pakistan,Sohail Khan
info,player,Pakistan,Rahat Ali
info,player,Pakistan,Mohammad Irfan
info,player,South Africa,Q de Kock
info,player,South Africa,HM Amla
info,player,South Africa,F du Plessis
info,player,South Africa,RR Rossouw
info,player,South Africa,AB de Villiers
info,player,South Africa,DA Miller
info,player,South Africa,JP Duminy
info,player,South Africa,DW Steyn
info,player,South Africa,KJ Abbott
info,player,South Africa,M Morkel
info,player,South Africa,Imran Tahir
info,registry,people,AB de Villiers,c4487b84
info,registry,people,Ahmed Shehzad,f8fd6e3f
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DA Miller,d67d5f00
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,F du Plessis,3355b542
info,registry,people,HM Amla,e798611a
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JP Duminy,2e8994e7
info,registry,people,KJ Abbott,a9da7784
info,registry,people,M Morkel,5bb5a915
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Irfan,a8e3170f
info,registry,people,Q de Kock,372455c4
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,Rahat Ali,a63775d6
info,registry,people,S Ravi,9b9ee0df
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Shahid Afridi,0dc00542
info,registry,people,Sohaib Maqsood,b98b5e1c
info,registry,people,Sohail Khan,5af743d0
info,registry,people,Umar Akmal,fd2bf2a0
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Younis Khan,33cb3411
