version,2.2.0
info,balls_per_over,5
info,team,Manchester Originals
info,team,Welsh Fire
info,gender,male
info,season,2022
info,date,2022/08/16
info,event,The Hundred Men's Competition
info,match_number,16
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Welsh Fire
info,toss_decision,field
info,player_of_match,SA Abbott
info,umpire,DJ Millns
info,umpire,N Pratt
info,reserve_umpire,Naeem Ashraf
info,tv_umpire,GD Lloyd
info,match_referee,JJ Whitaker
info,winner,Manchester Originals
info,winner_runs,47
info,player,Manchester Originals,JC Buttler
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,WL Madsen
info,player,Manchester Originals,AD Russell
info,player,Manchester Originals,LJ Evans
info,player,Manchester Originals,T Stubbs
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,SA Abbott
info,player,Manchester Originals,MW Parkinson
info,player,Manchester Originals,MT Stanley
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,T Banton
info,player,Welsh Fire,SR Hain
info,player,Welsh Fire,BM Duckett
info,player,Welsh Fire,DA Miller
info,player,Welsh Fire,JJ Cobb
info,player,Welsh Fire,MJJ Critchley
info,player,Welsh Fire,D Pretorius
info,player,Welsh Fire,A Zampa
info,player,Welsh Fire,DA Payne
info,player,Welsh Fire,JT Ball
info,registry,people,A Zampa,14f96089
info,registry,people,AD Russell,bbd41817
info,registry,people,BM Duckett,5f26f677
info,registry,people,D Pretorius,11614d87
info,registry,people,DA Miller,d67d5f00
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Millns,46ecfe40
info,registry,people,GD Lloyd,36e0770d
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Cobb,58c481c6
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,LJ Evans,1c513d54
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MT Stanley,faa8cfba
info,registry,people,MW Parkinson,19708692
info,registry,people,N Pratt,01f65cd3
info,registry,people,Naeem Ashraf,1866938c
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SR Hain,67b9536c
info,registry,people,T Banton,25f7b7d6
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TW Hartley,22b98d7c
info,registry,people,WL Madsen,86e0f3f0
