version,2.2.0
info,balls_per_over,6
info,team,Malta
info,team,Czech Republic
info,gender,male
info,season,2022
info,date,2022/05/12
info,event,Valletta Cup
info,match_number,7
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Czech Republic
info,toss_decision,field
info,player_of_match,B George
info,umpire,S Harnal
info,umpire,SN Anand
info,reserve_umpire,A Naudi
info,winner,Malta
info,winner_runs,2
info,player,Malta,G Chaturvedi
info,player,Malta,HS Gericke
info,player,Malta,B George
info,player,Malta,SSM Stanislaus
info,player,Malta,N Khanna
info,player,Malta,Aaftab Alam Khan
info,player,Malta,Bilal Muhammad
info,player,Malta,Imran Ameer
info,player,Malta,Washeem Abbas
info,player,Malta,Amar Sharma
info,player,Malta,J Shaju
info,player,Czech Republic,S Davizi
info,player,Czech Republic,Dylan Steyn
info,player,Czech Republic,V Jagannivasan
info,player,Czech Republic,S Wickramasekara
info,player,Czech Republic,S Ramakrishnan
info,player,Czech Republic,Sazib Bhuiyan
info,player,Czech Republic,A Ashokan
info,player,Czech Republic,Ritik Tomar
info,player,Czech Republic,Divyendra Singh
info,player,Czech Republic,S Sengupta
info,player,Czech Republic,Naveed Ahmed
info,registry,people,A Ashokan,9244df4b
info,registry,people,A Naudi,ba0ebe56
info,registry,people,Aaftab Alam Khan,9dbc77b3
info,registry,people,Amar Sharma,14e1fdab
info,registry,people,B George,1bdbf53b
info,registry,people,Bilal Muhammad,eb5aa5b9
info,registry,people,Divyendra Singh,7f122e0b
info,registry,people,Dylan Steyn,ff2b190e
info,registry,people,G Chaturvedi,e1c92333
info,registry,people,HS Gericke,c28a293e
info,registry,people,Imran Ameer,b8e65260
info,registry,people,J Shaju,d8bee9a1
info,registry,people,N Khanna,0ec6a7c3
info,registry,people,Naveed Ahmed,87609cbb
info,registry,people,Ritik Tomar,6de51a8e
info,registry,people,S Davizi,5787be00
info,registry,people,S Harnal,756fe781
info,registry,people,S Ramakrishnan,b0f5175e
info,registry,people,S Sengupta,da39f141
info,registry,people,S Wickramasekara,a9a09cb8
info,registry,people,SN Anand,ab3d6059
info,registry,people,SSM Stanislaus,34dd3fd9
info,registry,people,Sazib Bhuiyan,e5464794
info,registry,people,V Jagannivasan,dfbea4b3
info,registry,people,Washeem Abbas,6de4e430
