version,2.1.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Delhi Daredevils
info,gender,male
info,season,2018
info,date,2018/04/14
info,event,Indian Premier League
info,match_number,9
info,venue,Wankhede Stadium
info,city,Mumbai
info,toss_winner,Delhi Daredevils
info,toss_decision,field
info,player_of_match,JJ Roy
info,umpire,KN Ananthapadmanabhan
info,umpire,Nitin Menon
info,reserve_umpire,N Pandit
info,tv_umpire,RJ Tucker
info,match_referee,J Srinath
info,winner,Delhi Daredevils
info,winner_wickets,7
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,E Lewis
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,KA Pollard
info,player,Mumbai Indians,KH Pandya
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,A Dananjaya
info,player,Mumbai Indians,M Markande
info,player,Mumbai Indians,JJ Bumrah
info,player,Mumbai Indians,Mustafizur Rahman
info,player,Delhi Daredevils,JJ Roy
info,player,Delhi Daredevils,G Gambhir
info,player,Delhi Daredevils,RR Pant
info,player,Delhi Daredevils,GJ Maxwell
info,player,Delhi Daredevils,SS Iyer
info,player,Delhi Daredevils,V Shankar
info,player,Delhi Daredevils,DT Christian
info,player,Delhi Daredevils,R Tewatia
info,player,Delhi Daredevils,S Nadeem
info,player,Delhi Daredevils,Mohammed Shami
info,player,Delhi Daredevils,TA Boult
info,registry,people,A Dananjaya,5b16a806
info,registry,people,DT Christian,2a2e6343
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,G Gambhir,bb345e0b
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Srinath,bad31fac
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Markande,a9fd84fb
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,N Pandit,4947c258
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RR Pant,919a3be2
info,registry,people,S Nadeem,9d80c5e1
info,registry,people,SA Yadav,271f83cd
info,registry,people,SS Iyer,85ec8e33
info,registry,people,TA Boult,a818c1be
info,registry,people,V Shankar,0994d0ae
