version,2.1.0
info,balls_per_over,6
info,team,Jersey
info,team,Norway
info,gender,male
info,season,2019
info,date,2019/06/16
info,event,ICC Men's T20 World Cup Europe Region Final
info,match_number,8
info,venue,King George V Sports Ground
info,city,Castel
info,toss_winner,Jersey
info,toss_decision,bat
info,player_of_match,BDH Stevens
info,umpire,Adriaan van den Dries
info,umpire,DA Haggo
info,reserve_umpire,Rizwan Akram
info,match_referee,Wayne Noon
info,winner,Jersey
info,winner_runs,80
info,player,Jersey,NJ Ferraby
info,player,Jersey,C Bisson
info,player,Jersey,BDH Stevens
info,player,Jersey,JW Jenner
info,player,Jersey,DG Blampied
info,player,Jersey,B Ward
info,player,Jersey,AW Hawkins-Kay
info,player,Jersey,EJB Miles
info,player,Jersey,CW Perchard
info,player,Jersey,J Sumerauer
info,player,Jersey,JE Dunford
info,player,Norway,Raza Iqbal
info,player,Norway,E Ul Haq
info,player,Norway,Walid Ghauri
info,player,Norway,Ansar Iqbal
info,player,Norway,Tafseer Ali
info,player,Norway,Hayatullah Niazi
info,player,Norway,Abdullah Sheikh
info,player,Norway,Khizer Ahmed
info,player,Norway,S Waqas Ahmed
info,player,Norway,P Bhart
info,player,Norway,Junaid Sheikh
info,registry,people,AW Hawkins-Kay,8160713d
info,registry,people,Abdullah Sheikh,336a85f6
info,registry,people,Adriaan van den Dries,94b5ec3b
info,registry,people,Ansar Iqbal,9a08a863
info,registry,people,B Ward,9e0bd203
info,registry,people,BDH Stevens,f8035c2a
info,registry,people,C Bisson,85ba5659
info,registry,people,CW Perchard,9f998ed8
info,registry,people,DA Haggo,e6789a88
info,registry,people,DG Blampied,d8976cb7
info,registry,people,E Ul Haq,3559290a
info,registry,people,EJB Miles,6b46ce43
info,registry,people,Hayatullah Niazi,877ad201
info,registry,people,J Sumerauer,0b581ed6
info,registry,people,JE Dunford,89a7dd4a
info,registry,people,JW Jenner,32a8161e
info,registry,people,Junaid Sheikh,c01852c6
info,registry,people,Khizer Ahmed,723ca856
info,registry,people,NJ Ferraby,c149b9ca
info,registry,people,P Bhart,0daf3ffc
info,registry,people,Raza Iqbal,eee46f77
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Waqas Ahmed,fb27d38c
info,registry,people,Tafseer Ali,b9c3ffcd
info,registry,people,Walid Ghauri,331e137f
info,registry,people,Wayne Noon,736e1761
