version,2.1.0
info,balls_per_over,6
info,team,Ireland
info,team,Scotland
info,gender,male
info,season,2009
info,date,2009/04/01
info,event,ICC World Cup Qualifiers
info,match_number,4
info,venue,Willowmoore Park
info,city,Benoni
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,WTS Porterfield
info,umpire,M Erasmus
info,umpire,AM Saheba
info,reserve_umpire,KC Barbour
info,match_referee,BC Broad
info,winner,Ireland
info,winner_wickets,7
info,player,Ireland,WTS Porterfield
info,player,Ireland,GC Wilson
info,player,Ireland,EJG Morgan
info,player,Ireland,NJ O'Brien
info,player,Ireland,AC Botha
info,player,Ireland,KJ O'Brien
info,player,Ireland,AR Cusack
info,player,Ireland,DT Johnston
info,player,Ireland,RM West
info,player,Ireland,PC Connell
info,player,Ireland,WB Rankin
info,player,Scotland,GM Hamilton
info,player,Scotland,RR Watson
info,player,Scotland,KJ Coetzer
info,player,Scotland,NS Poonia
info,player,Scotland,CJO Smith
info,player,Scotland,NFI McCallum
info,player,Scotland,CM Wright
info,player,Scotland,MM Iqbal
info,player,Scotland,JH Stander
info,player,Scotland,CS MacLeod
info,player,Scotland,JD Nel
info,registry,people,AC Botha,d8e79af0
info,registry,people,AM Saheba,883e3818
info,registry,people,AR Cusack,568e5a4a
info,registry,people,BC Broad,d6a7dd38
info,registry,people,CJO Smith,c46e9e56
info,registry,people,CM Wright,008589a4
info,registry,people,CS MacLeod,9c376401
info,registry,people,DT Johnston,e01895bb
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,GC Wilson,05de1a5a
info,registry,people,GM Hamilton,8187519b
info,registry,people,JD Nel,7c7303eb
info,registry,people,JH Stander,4373c57e
info,registry,people,KC Barbour,4359f89a
info,registry,people,KJ Coetzer,85d8110a
info,registry,people,KJ O'Brien,243431b5
info,registry,people,M Erasmus,15d3c895
info,registry,people,MM Iqbal,4ff67681
info,registry,people,NFI McCallum,ef5cbaf6
info,registry,people,NJ O'Brien,84826f48
info,registry,people,NS Poonia,e343abe9
info,registry,people,PC Connell,5500c675
info,registry,people,RM West,d1761087
info,registry,people,RR Watson,a670d624
info,registry,people,WB Rankin,29b89ae8
info,registry,people,WTS Porterfield,ec02b798
