version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Pakistan
info,gender,male
info,season,2013/14
info,date,2014/03/04
info,event,Asia Cup
info,match_number,8
info,venue,Shere Bangla National Stadium
info,city,Mirpur
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Shahid Afridi
info,umpire,JD Cloete
info,umpire,NJ Llong
info,reserve_umpire,Tanvir Ahmed
info,tv_umpire,CK Nandan
info,match_referee,BC Broad
info,winner,Pakistan
info,winner_wickets,3
info,player,Bangladesh,Anamul Haque
info,player,Bangladesh,Imrul Kayes
info,player,Bangladesh,Mominul Haque
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Nasir Hossain
info,player,Bangladesh,Ziaur Rahman
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Abdur Razzak
info,player,Bangladesh,Shafiul Islam
info,player,Bangladesh,Al-Amin Hossain
info,player,Pakistan,Ahmed Shehzad
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Sohaib Maqsood
info,player,Pakistan,Fawad Alam
info,player,Pakistan,Abdur Rehman
info,player,Pakistan,Shahid Afridi
info,player,Pakistan,Umar Akmal
info,player,Pakistan,Umar Gul
info,player,Pakistan,Mohammad Talha
info,player,Pakistan,Saeed Ajmal
info,registry,people,Abdur Razzak,888e32bf
info,registry,people,Abdur Rehman,d094e7d1
info,registry,people,Ahmed Shehzad,f8fd6e3f
info,registry,people,Al-Amin Hossain,3f5f39cd
info,registry,people,Anamul Haque,72b245dd
info,registry,people,BC Broad,d6a7dd38
info,registry,people,CK Nandan,012de9c4
info,registry,people,Fawad Alam,61f05b05
info,registry,people,Imrul Kayes,5fbe14fc
info,registry,people,JD Cloete,b0419f8c
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Talha,0ec9e2c4
info,registry,people,Mominul Haque,de0a3209
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,NJ Llong,573fb985
info,registry,people,Nasir Hossain,6eea0b32
info,registry,people,Saeed Ajmal,05d74535
info,registry,people,Shafiul Islam,1a8eebbe
info,registry,people,Shahid Afridi,0dc00542
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sohaib Maqsood,b98b5e1c
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Umar Akmal,fd2bf2a0
info,registry,people,Umar Gul,16dfcc19
info,registry,people,Ziaur Rahman,c27518d2
