version,2.2.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,India
info,gender,male
info,season,2021
info,date,2021/07/20
info,event,India tour of Sri Lanka
info,match_number,2
info,venue,"R Premadasa Stadium, Colombo"
info,city,Colombo
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,DL Chahar
info,umpire,HDPK Dharmasena
info,umpire,LE Hannibal
info,reserve_umpire,RMPJ Rambukwella
info,tv_umpire,RSA Palliyaguruge
info,match_referee,RS Madugalle
info,winner,India
info,winner_wickets,3
info,player,Sri Lanka,WIA Fernando
info,player,Sri Lanka,M Bhanuka
info,player,Sri Lanka,PBB Rajapaksa
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,C Karunaratne
info,player,Sri Lanka,PVD Chameera
info,player,Sri Lanka,PADLR Sandakan
info,player,Sri Lanka,CAK Rajitha
info,player,India,PP Shaw
info,player,India,S Dhawan
info,player,India,Ishan Kishan
info,player,India,MK Pandey
info,player,India,SA Yadav
info,player,India,HH Pandya
info,player,India,KH Pandya
info,player,India,DL Chahar
info,player,India,B Kumar
info,player,India,Kuldeep Yadav
info,player,India,YS Chahal
info,registry,people,B Kumar,2e81a32d
info,registry,people,C Karunaratne,fb3e0d39
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DL Chahar,23eeb873
info,registry,people,DM de Silva,7d608e12
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KIC Asalanka,732c038e
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,M Bhanuka,684d21d7
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MK Pandey,93b4fc78
info,registry,people,PADLR Sandakan,79aad751
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,PVD Chameera,327b58d3
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RS Madugalle,766b5798
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,S Dhawan,0a476045
info,registry,people,SA Yadav,271f83cd
info,registry,people,WIA Fernando,9550470d
info,registry,people,YS Chahal,57ee1fde
