version,2.2.0
info,balls_per_over,6
info,team,South East Stars
info,team,Southern Vipers
info,gender,female
info,season,2021
info,date,2021/05/31
info,event,Rachael Heyhoe Flint Trophy
info,venue,"Kent County Cricket Ground, Beckenham"
info,city,Beckenham
info,toss_winner,Southern Vipers
info,toss_decision,field
info,umpire,Rob White
info,umpire,SM Bartlett
info,match_referee,SG Hinks
info,winner,Southern Vipers
info,winner_wickets,7
info,player,South East Stars,BF Smith
info,player,South East Stars,AN Davidson-Richards
info,player,South East Stars,SIR Dunkley
info,player,South East Stars,A Capsey
info,player,South East Stars,GJ Gibbs
info,player,South East Stars,A Cranstone
info,player,South East Stars,KE White
info,player,South East Stars,NE Farrant
info,player,South East Stars,R Southby
info,player,South East Stars,FR Davies
info,player,South East Stars,D Gregory
info,player,Southern Vipers,GL Adams
info,player,Southern Vipers,DN Wyatt
info,player,Southern Vipers,ME Bouchier
info,player,Southern Vipers,GA Elwiss
info,player,Southern Vipers,CE Dean
info,player,Southern Vipers,EM McCaughan
info,player,Southern Vipers,E Windsor
info,player,Southern Vipers,TG Norris
info,player,Southern Vipers,CE Rudd
info,player,Southern Vipers,CM Taylor
info,player,Southern Vipers,AZ Monaghan
info,registry,people,A Capsey,910dd54e
info,registry,people,A Cranstone,b9a52291
info,registry,people,AN Davidson-Richards,35828bdd
info,registry,people,AZ Monaghan,0c694738
info,registry,people,BF Smith,c64b7c5b
info,registry,people,CE Dean,c6625a26
info,registry,people,CE Rudd,290af2b3
info,registry,people,CM Taylor,d23c808d
info,registry,people,D Gregory,b3ccffff
info,registry,people,DN Wyatt,a139c379
info,registry,people,E Windsor,1d7f8759
info,registry,people,EM McCaughan,ed2711ea
info,registry,people,FR Davies,2479daa6
info,registry,people,GA Elwiss,287ed3a0
info,registry,people,GJ Gibbs,04381402
info,registry,people,GL Adams,7b1f2542
info,registry,people,KE White,35eda1e3
info,registry,people,ME Bouchier,c2554b59
info,registry,people,NE Farrant,15f609ed
info,registry,people,R Southby,bbe1525d
info,registry,people,Rob White,59b91222
info,registry,people,SG Hinks,0bb4dc0d
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SM Bartlett,7ba18406
info,registry,people,TG Norris,8ae7bb3e
