version,2.1.0
info,balls_per_over,6
info,team,West Indies
info,team,India
info,gender,male
info,season,2013
info,date,2013/06/30
info,event,West Indies Tri-Nation Series
info,match_number,2
info,venue,"Sabina Park, Kingston"
info,city,Jamaica
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,J Charles
info,umpire,IJ Gould
info,umpire,PJ Nero
info,reserve_umpire,N Duguid
info,tv_umpire,JS Wilson
info,match_referee,JJ Crowe
info,winner,West Indies
info,winner_wickets,1
info,player,India,RG Sharma
info,player,India,S Dhawan
info,player,India,V Kohli
info,player,India,KD Karthik
info,player,India,SK Raina
info,player,India,MS Dhoni
info,player,India,RA Jadeja
info,player,India,R Ashwin
info,player,India,B Kumar
info,player,India,I Sharma
info,player,India,UT Yadav
info,player,West Indies,CH Gayle
info,player,West Indies,J Charles
info,player,West Indies,DS Smith
info,player,West Indies,MN Samuels
info,player,West Indies,DM Bravo
info,player,West Indies,KA Pollard
info,player,West Indies,D Ramdin
info,player,West Indies,DJG Sammy
info,player,West Indies,KAJ Roach
info,player,West Indies,SP Narine
info,player,West Indies,TL Best
info,registry,people,B Kumar,2e81a32d
info,registry,people,CH Gayle,db584dad
info,registry,people,D Ramdin,d1523761
info,registry,people,DJG Sammy,c03c6200
info,registry,people,DM Bravo,14b14cd8
info,registry,people,DS Smith,85ad2217
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,IJ Gould,a9dfdf6c
info,registry,people,J Charles,09a9d073
info,registry,people,JJ Crowe,2e760301
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KAJ Roach,78eb4223
info,registry,people,KD Karthik,c03f1114
info,registry,people,MN Samuels,f846de6a
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,N Duguid,64495506
info,registry,people,PJ Nero,925d2e93
info,registry,people,R Ashwin,495d42a5
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,S Dhawan,0a476045
info,registry,people,SK Raina,1dc12ab9
info,registry,people,SP Narine,9d430b40
info,registry,people,TL Best,db767b89
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Kohli,ba607b88
