version,2.2.0
info,balls_per_over,6
info,team,Malawi
info,team,Uganda
info,gender,male
info,season,2021/22
info,date,2021/10/16
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A & B
info,match_number,4
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Malawi
info,toss_decision,bat
info,player_of_match,S Sesazi
info,umpire,C Phiri
info,umpire,D Odhiambo
info,reserve_umpire,Claus Schumacher
info,match_referee,SA Fritz
info,winner,Uganda
info,winner_wickets,10
info,player,Malawi,G Kansonkho
info,player,Malawi,D Kansonkho
info,player,Malawi,Sami Sohail
info,player,Malawi,MA Baig
info,player,Malawi,M Abdulla
info,player,Malawi,GM Ntambalika
info,player,Malawi,C Chete
info,player,Malawi,A Kansonkho
info,player,Malawi,M Mwamadi
info,player,Malawi,L Nakomo
info,player,Malawi,M Choamba
info,player,Uganda,Saud Islam
info,player,Uganda,S Sesazi
info,player,Uganda,RB Patel
info,player,Uganda,DM Nakrani
info,player,Uganda,Riazat Ali Shah
info,player,Uganda,F Nsubuga
info,player,Uganda,F Achelam
info,player,Uganda,F Akankwasa
info,player,Uganda,Bilal Hassun
info,player,Uganda,D Muhumuza
info,player,Uganda,H Ssenyondo
info,registry,people,A Kansonkho,5f77f4ec
info,registry,people,Bilal Hassun,1a9e9efe
info,registry,people,C Chete,ef4f539a
info,registry,people,C Phiri,ade73404
info,registry,people,Claus Schumacher,85645e62
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,D Muhumuza,7636b587
info,registry,people,D Odhiambo,45994517
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,F Achelam,b6b3ee6e
info,registry,people,F Akankwasa,0d0f0385
info,registry,people,F Nsubuga,87e33d07
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,GM Ntambalika,8c8a3f08
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,L Nakomo,1abfa11e
info,registry,people,M Abdulla,792805ee
info,registry,people,M Choamba,5570c4c1
info,registry,people,M Mwamadi,00029c30
info,registry,people,MA Baig,89394502
info,registry,people,RB Patel,f88dc8de
info,registry,people,Riazat Ali Shah,269cc4ff
info,registry,people,S Sesazi,c2c975f9
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,Saud Islam,ae5a7eb5
