version,2.1.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Australia
info,gender,male
info,season,2016
info,date,2016/09/09
info,event,Australia in Sri Lanka T20I Series
info,match_number,2
info,venue,R Premadasa Stadium
info,city,Colombo
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,GJ Maxwell
info,umpire,REJ Martinesz
info,umpire,RSA Palliyaguruge
info,reserve_umpire,LE Hannibal
info,tv_umpire,RR Wimalasiri
info,match_referee,J Srinath
info,winner,Australia
info,winner_wickets,4
info,player,Australia,DA Warner
info,player,Australia,GJ Maxwell
info,player,Australia,MC Henriques
info,player,Australia,JP Faulkner
info,player,Australia,MS Wade
info,player,Australia,UT Khawaja
info,player,Australia,TM Head
info,player,Australia,PM Nevill
info,player,Australia,MA Starc
info,player,Australia,A Zampa
info,player,Australia,JW Hastings
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,CK Kapugedera
info,player,Sri Lanka,NLTC Perera
info,player,Sri Lanka,SS Pathirana
info,player,Sri Lanka,S Prasanna
info,player,Sri Lanka,SMSM Senanayake
info,player,Sri Lanka,RAS Lakmal
info,registry,people,A Zampa,14f96089
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,CK Kapugedera,cfad138c
info,registry,people,DA Warner,dcce6f09
info,registry,people,DM de Silva,7d608e12
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,J Srinath,bad31fac
info,registry,people,JP Faulkner,808f425a
info,registry,people,JW Hastings,012829ff
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,MA Starc,3fb19989
info,registry,people,MC Henriques,32198ae0
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,MS Wade,afa7e784
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,PM Nevill,a22fb7b5
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,S Prasanna,f78e7113
info,registry,people,SMSM Senanayake,4c4fa80b
info,registry,people,SS Pathirana,753c95b9
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,TM Head,12b610c2
info,registry,people,UT Khawaja,331ea488
