version,2.2.0
info,balls_per_over,6
info,team,Japan
info,team,Indonesia
info,gender,male
info,season,2022/23
info,date,2022/10/18
info,event,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
info,match_number,5
info,venue,Sano International Cricket Ground
info,city,Sano
info,toss_winner,Japan
info,toss_decision,bat
info,player_of_match,IKEG Artawan
info,umpire,AK Rana
info,umpire,MW Graham-Smith
info,reserve_umpire,C Thurgate
info,winner,Indonesia
info,winner_wickets,6
info,player,Japan,L Yamamoto-Lake
info,player,Japan,M Taniyama
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,I Takahashi
info,player,Japan,S Ravichandran
info,player,Japan,A Patmore
info,player,Japan,D Suzuki
info,player,Japan,S Kimura
info,player,Japan,R Sakurano-Thomas
info,player,Japan,P Kumbhare
info,player,Japan,KK Dobell
info,player,Indonesia,GA Priandana
info,player,Indonesia,KC Ramamoorthy
info,player,Indonesia,IK Gamantika
info,player,Indonesia,PR Surve
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,IW Budiarta
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,F Banunaek
info,player,Indonesia,RM Koda
info,registry,people,A Patmore,85119526
info,registry,people,AK Rana,562d74d0
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,C Thurgate,4d8ad58c
info,registry,people,D Suzuki,64c81abf
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,I Takahashi,c988daa1
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,IW Budiarta,27320242
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,KC Ramamoorthy,a89c270b
info,registry,people,KK Dobell,d792374d
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,M Taniyama,cbd91942
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,P Kumbhare,ef503cfe
info,registry,people,PR Surve,206efeb1
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,RM Koda,f0a45427
info,registry,people,S Kimura,dbfbaba1
info,registry,people,S Ravichandran,9f2be73d
