version,2.1.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,New Zealand
info,gender,male
info,season,2015
info,date,2015/08/07
info,event,New Zealand in Zimbabwe ODI Series
info,match_number,3
info,venue,Harare Sports Club
info,city,
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,KS Williamson
info,umpire,RK Illingworth
info,umpire,TJ Matibiri
info,reserve_umpire,I Chabi
info,tv_umpire,RB Tiffin
info,match_referee,DC Boon
info,winner,New Zealand
info,winner_runs,38
info,player,New Zealand,MJ Guptill
info,player,New Zealand,TWM Latham
info,player,New Zealand,KS Williamson
info,player,New Zealand,C Munro
info,player,New Zealand,GD Elliott
info,player,New Zealand,JDS Neesham
info,player,New Zealand,L Ronchi
info,player,New Zealand,NL McCullum
info,player,New Zealand,MJ McClenaghan
info,player,New Zealand,BM Wheeler
info,player,New Zealand,IS Sodhi
info,player,Zimbabwe,H Masakadza
info,player,Zimbabwe,CJ Chibhabha
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,E Chigumbura
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,AG Cremer
info,player,Zimbabwe,N Madziva
info,player,Zimbabwe,T Panyangara
info,player,Zimbabwe,J Nyumbu
info,registry,people,AG Cremer,9f0270e0
info,registry,people,BM Wheeler,397f4d3a
info,registry,people,C Munro,af2c687b
info,registry,people,CJ Chibhabha,f32dbc84
info,registry,people,CR Ervine,c96311d4
info,registry,people,DC Boon,e79a1fe3
info,registry,people,E Chigumbura,d2babdd5
info,registry,people,GD Elliott,c03449e0
info,registry,people,H Masakadza,31fbf891
info,registry,people,I Chabi,5e39110e
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,J Nyumbu,024a173d
info,registry,people,JDS Neesham,9219eff0
info,registry,people,KS Williamson,d027ba9f
info,registry,people,L Ronchi,0fa5042b
info,registry,people,MJ Guptill,2be41edb
info,registry,people,MJ McClenaghan,51a3c5ef
info,registry,people,N Madziva,4a36c370
info,registry,people,NL McCullum,5673a3fc
info,registry,people,RB Tiffin,89087a0d
info,registry,people,RK Illingworth,20672246
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Panyangara,3b417422
info,registry,people,TJ Matibiri,4a3132b1
info,registry,people,TWM Latham,e824e6ee
