version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Zimbabwe
info,gender,male
info,season,2015/16
info,date,2015/11/09
info,event,Zimbabwe in Bangladesh ODI Series
info,match_number,2
info,venue,Shere Bangla National Stadium
info,city,Mirpur
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,Imrul Kayes
info,umpire,Aleem Dar
info,umpire,Enamul Haque
info,reserve_umpire,Sharfuddoula
info,tv_umpire,Anisur Rahman
info,match_referee,J Srinath
info,winner,Bangladesh
info,winner_runs,58
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Imrul Kayes
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Sabbir Rahman
info,player,Bangladesh,Nasir Hossain
info,player,Bangladesh,Mashrafe Mortaza
info,player,Bangladesh,Arafat Sunny
info,player,Bangladesh,Al-Amin Hossain
info,player,Bangladesh,Mustafizur Rahman
info,player,Zimbabwe,CJ Chibhabha
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,E Chigumbura
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,MN Waller
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,AG Cremer
info,player,Zimbabwe,T Panyangara
info,player,Zimbabwe,T Muzarabani
info,registry,people,AG Cremer,9f0270e0
info,registry,people,Al-Amin Hossain,3f5f39cd
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Anisur Rahman,affbf093
info,registry,people,Arafat Sunny,1f7adc8a
info,registry,people,CJ Chibhabha,f32dbc84
info,registry,people,CR Ervine,c96311d4
info,registry,people,E Chigumbura,d2babdd5
info,registry,people,Enamul Haque,2ae9be7f
info,registry,people,Imrul Kayes,5fbe14fc
info,registry,people,J Srinath,bad31fac
info,registry,people,LM Jongwe,b8704508
info,registry,people,Liton Das,0404d43c
info,registry,people,MN Waller,ec4dada1
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nasir Hossain,6eea0b32
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sabbir Rahman,7147f314
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Muzarabani,a945bb28
info,registry,people,T Panyangara,3b417422
info,registry,people,Tamim Iqbal,3b041a12
