version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Zimbabwe
info,gender,male
info,season,2019/20
info,date,2020/03/11
info,event,Zimbabwe tour of Bangladesh
info,match_number,2
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,Liton Das
info,umpire,Masudur Rahman
info,umpire,Gazi Sohel
info,reserve_umpire,Sharfuddoula
info,tv_umpire,Tanvir Ahmed
info,match_referee,JJ Crowe
info,winner,Bangladesh
info,winner_wickets,9
info,player,Zimbabwe,TS Kamunhukamwe
info,player,Zimbabwe,BRM Taylor
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,R Mutumbami
info,player,Zimbabwe,CT Mutombodzi
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,CT Mumba
info,player,Zimbabwe,CB Mpofu
info,player,Zimbabwe,CK Tshuma
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Mohammad Naim
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Mahedi Hasan
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mohammad Saifuddin
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Al-Amin Hossain
info,player,Bangladesh,Hasan Mahmud
info,registry,people,Afif Hossain,37138918
info,registry,people,Al-Amin Hossain,3f5f39cd
info,registry,people,BRM Taylor,53597be1
info,registry,people,CB Mpofu,49691d7a
info,registry,people,CK Tshuma,f6571355
info,registry,people,CR Ervine,c96311d4
info,registry,people,CT Mumba,28496266
info,registry,people,CT Mutombodzi,26f12506
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,JJ Crowe,2e760301
info,registry,people,Liton Das,0404d43c
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mohammad Naim,7923a51d
info,registry,people,Mohammad Saifuddin,b3a28446
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,R Mutumbami,5fef85ee
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,TS Kamunhukamwe,4e1b4323
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,W Madhevere,a879b92c
