version,2.2.0
info,balls_per_over,6
info,team,North-West Warriors
info,team,Northern Knights
info,gender,male
info,season,2020
info,date,2020/08/20
info,event,Cricket Ireland Inter-Provincial Twenty20 Trophy
info,match_number,1
info,venue,"Bready Cricket Club, Magheramason, Bready"
info,city,Bready
info,toss_winner,Northern Knights
info,toss_decision,field
info,umpire,AJ Neill
info,umpire,M Hawthorne
info,match_referee,G McCrea
info,winner,Northern Knights
info,winner_runs,2
info,method,D/L
info,player,Northern Knights,PR Stirling
info,player,Northern Knights,JA McCollum
info,player,Northern Knights,HT Tector
info,player,Northern Knights,GC Wilson
info,player,Northern Knights,R Pretorius
info,player,Northern Knights,SC Getkate
info,player,Northern Knights,MR Adair
info,player,Northern Knights,J Mulder
info,player,Northern Knights,GJ McCarter
info,player,Northern Knights,GR Adair
info,player,Northern Knights,CJ van der Walt
info,player,North-West Warriors,NJ McGuire
info,player,North-West Warriors,WTS Porterfield
info,player,North-West Warriors,DA Rankin
info,player,North-West Warriors,SR Thompson
info,player,North-West Warriors,AR McBrine
info,player,North-West Warriors,WT Smale
info,player,North-West Warriors,GI Hume
info,player,North-West Warriors,Ross Allen
info,player,North-West Warriors,CA Young
info,player,North-West Warriors,VC Chopra
info,player,North-West Warriors,G Kennedy
info,registry,people,AJ Neill,7ffe0ce3
info,registry,people,AR McBrine,e957b38f
info,registry,people,CA Young,bd0a4a7d
info,registry,people,CJ van der Walt,c8dc6c39
info,registry,people,DA Rankin,ab859427
info,registry,people,G Kennedy,574b4c01
info,registry,people,G McCrea,46f4a901
info,registry,people,GC Wilson,05de1a5a
info,registry,people,GI Hume,25550d06
info,registry,people,GJ McCarter,6232e1ed
info,registry,people,GR Adair,4ec96094
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Mulder,6b64e7a3
info,registry,people,JA McCollum,c7105dab
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,MR Adair,fc55ec67
info,registry,people,NJ McGuire,f8748f79
info,registry,people,PR Stirling,cf494ffe
info,registry,people,R Allen,415e5c01
info,registry,people,R Pretorius,8ff85f5c
info,registry,people,SC Getkate,c8065f31
info,registry,people,SR Thompson,7f3ad1ed
info,registry,people,V Chopra,11e8e25f
info,registry,people,WT Smale,97da28bd
info,registry,people,WTS Porterfield,ec02b798
