,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
KJ O'Brien,KJ O'Brien,Trinidad & Tobago Red Steel,70,47,2,6,148.93617021276594,0,0.0,0,0,0,0
AB Barath,AB Barath,Trinidad & Tobago Red Steel,29,31,3,0,93.54838709677419,0,0.0,0,0,0,0
LRPL Taylor,LRPL Taylor,Trinidad & Tobago Red Steel,39,27,3,2,144.44444444444443,0,0.0,0,0,0,0
N Pooran,N Pooran,Trinidad & Tobago Red Steel,3,5,0,0,60.0,0,0.0,0,0,0,0
DJ Bravo,DJ Bravo,Trinidad & Tobago Red Steel,8,6,1,0,133.33333333333331,4,21.0,2,0,0,5.25
DM Bravo,DM Bravo,Trinidad & Tobago Red Steel,7,4,1,0,175.0,0,0.0,0,0,0,0
KK Cooper,KK Cooper,Trinidad & Tobago Red Steel,0,0,0,0,0,4,35.0,0,0,2,8.75
DE Johnson,DE Johnson,Trinidad & Tobago Red Steel,0,0,0,0,0,4,25.0,1,0,2,6.25
Y Cariah,Y Cariah,Trinidad & Tobago Red Steel,0,0,0,0,0,0,0.0,0,0,0,0
SJ Benn,SJ Benn,Trinidad & Tobago Red Steel,0,0,0,0,0,4,23.0,0,0,1,5.75
FH Edwards,FH Edwards,Trinidad & Tobago Red Steel,0,0,0,0,0,4,47.0,1,0,0,11.75
LMP Simmons,LMP Simmons,Guyana Amazon Warriors,18,10,1,2,180.0,0,0.0,0,0,0,0
MJ Guptill,MJ Guptill,Guyana Amazon Warriors,6,12,0,0,50.0,0,0.0,0,0,0,0
Mohammad Hafeez,Mohammad Hafeez,Guyana Amazon Warriors,35,38,2,1,92.10526315789474,2,11.0,0,0,0,5.5
RR Sarwan,RR Sarwan,Guyana Amazon Warriors,4,8,0,0,50.0,0,0.0,0,0,0,0
JEC Franklin,JEC Franklin,Guyana Amazon Warriors,60,34,5,3,176.47058823529412,2,25.0,0,0,0,12.5
CD Barnwell,CD Barnwell,Guyana Amazon Warriors,23,18,1,1,127.77777777777777,3,22.0,1,0,2,7.333333333333333
SA Jacobs,SA Jacobs,Guyana Amazon Warriors,0,0,0,0,0,1,10.0,1,0,0,10.0
D Ramdin,D Ramdin,Guyana Amazon Warriors,0,0,0,0,0,0,0.0,0,0,0,0
SP Narine,SP Narine,Guyana Amazon Warriors,0,0,0,0,0,4,35.0,0,0,0,8.75
K Santokie,K Santokie,Guyana Amazon Warriors,0,0,0,0,0,4,25.0,2,0,0,6.25
V Permaul,V Permaul,Guyana Amazon Warriors,0,0,0,0,0,4,30.0,0,0,0,7.5
