version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Nepal
info,gender,male
info,season,2013/14
info,date,2014/03/18
info,event,World T20
info,match_number,6
info,venue,Zahur Ahmed Chowdhury Stadium
info,city,Chittagong
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,Al-Amin Hossain
info,umpire,Aleem Dar
info,umpire,RJ Tucker
info,reserve_umpire,PR Reiffel
info,tv_umpire,S Ravi
info,match_referee,J Srinath
info,winner,Bangladesh
info,winner_wickets,8
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Anamul Haque
info,player,Bangladesh,Sabbir Rahman
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Nasir Hossain
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Farhad Reza
info,player,Bangladesh,Mashrafe Mortaza
info,player,Bangladesh,Al-Amin Hossain
info,player,Bangladesh,Abdur Razzak
info,player,Nepal,SP Khakurel
info,player,Nepal,Sagar Pun
info,player,Nepal,G Malla
info,player,Nepal,P Khadka
info,player,Nepal,S Vesawkar
info,player,Nepal,B Bhandari
info,player,Nepal,B Regmi
info,player,Nepal,NB Budayair
info,player,Nepal,SP Gauchan
info,player,Nepal,Sompal Kami
info,player,Nepal,JK Mukhiya
info,registry,people,Abdur Razzak,888e32bf
info,registry,people,Al-Amin Hossain,3f5f39cd
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Anamul Haque,72b245dd
info,registry,people,B Bhandari,82342b13
info,registry,people,B Regmi,98d05440
info,registry,people,Farhad Reza,4948a447
info,registry,people,G Malla,b2e1d224
info,registry,people,J Srinath,bad31fac
info,registry,people,JK Mukhiya,f8dcfe4e
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,NB Budayair,9d280648
info,registry,people,Nasir Hossain,6eea0b32
info,registry,people,P Khadka,12c3ba4d
info,registry,people,PR Reiffel,c9354f29
info,registry,people,RJ Tucker,38810cfc
info,registry,people,S Ravi,9b9ee0df
info,registry,people,S Vesawkar,3de06845
info,registry,people,SP Gauchan,2d8aae2f
info,registry,people,SP Khakurel,9a6b71d1
info,registry,people,Sabbir Rahman,7147f314
info,registry,people,Sagar Pun,3c4007d3
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Tamim Iqbal,3b041a12
