version,2.1.0
info,balls_per_over,6
info,team,Delhi Daredevils
info,team,Kolkata Knight Riders
info,gender,male
info,season,2012
info,date,2012/05/07
info,event,Indian Premier League
info,match_number,51
info,venue,Feroz Shah Kotla
info,city,Delhi
info,toss_winner,Delhi Daredevils
info,toss_decision,bat
info,player_of_match,JH Kallis
info,umpire,JD Cloete
info,umpire,S Ravi
info,reserve_umpire,R Risodkar
info,tv_umpire,SJA Taufel
info,match_referee,AJ Pycroft
info,winner,Kolkata Knight Riders
info,winner_wickets,6
info,player,Delhi Daredevils,DA Warner
info,player,Delhi Daredevils,V Sehwag
info,player,Delhi Daredevils,DPMD Jayawardene
info,player,Delhi Daredevils,LRPL Taylor
info,player,Delhi Daredevils,IK Pathan
info,player,Delhi Daredevils,Y Nagar
info,player,Delhi Daredevils,NV Ojha
info,player,Delhi Daredevils,M Morkel
info,player,Delhi Daredevils,S Nadeem
info,player,Delhi Daredevils,VR Aaron
info,player,Delhi Daredevils,UT Yadav
info,player,Kolkata Knight Riders,BB McCullum
info,player,Kolkata Knight Riders,G Gambhir
info,player,Kolkata Knight Riders,JH Kallis
info,player,Kolkata Knight Riders,MK Tiwary
info,player,Kolkata Knight Riders,YK Pathan
info,player,Kolkata Knight Riders,DB Das
info,player,Kolkata Knight Riders,LR Shukla
info,player,Kolkata Knight Riders,R Bhatia
info,player,Kolkata Knight Riders,B Lee
info,player,Kolkata Knight Riders,PJ Sangwan
info,player,Kolkata Knight Riders,SP Narine
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,B Lee,dd09ff8e
info,registry,people,BB McCullum,b8a55852
info,registry,people,DA Warner,dcce6f09
info,registry,people,DB Das,7050a1e7
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,G Gambhir,bb345e0b
info,registry,people,IK Pathan,5fa06777
info,registry,people,JD Cloete,b0419f8c
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,LR Shukla,b1451597
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,M Morkel,5bb5a915
info,registry,people,MK Tiwary,26e5cabf
info,registry,people,NV Ojha,890946a0
info,registry,people,PJ Sangwan,9fc0ef64
info,registry,people,R Bhatia,33a364a6
info,registry,people,R Risodkar,3de870ce
info,registry,people,S Nadeem,9d80c5e1
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,SP Narine,9d430b40
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Sehwag,8ba8195d
info,registry,people,VR Aaron,0a3d54b9
info,registry,people,Y Nagar,662c47a6
info,registry,people,YK Pathan,3c6ffae8
