version,2.1.0
info,balls_per_over,6
info,team,Royal Challengers Bangalore
info,team,Kolkata Knight Riders
info,gender,male
info,season,2011
info,date,2011/05/14
info,event,Indian Premier League
info,match_number,58
info,venue,M Chinnaswamy Stadium
info,city,Bangalore
info,toss_winner,Royal Challengers Bangalore
info,toss_decision,field
info,player_of_match,CH Gayle
info,umpire,RE Koertzen
info,umpire,RB Tiffin
info,reserve_umpire,CK Nandan
info,tv_umpire,SS Hazare
info,match_referee,AJ Pycroft
info,winner,Royal Challengers Bangalore
info,winner_wickets,4
info,method,D/L
info,player,Kolkata Knight Riders,JH Kallis
info,player,Kolkata Knight Riders,EJG Morgan
info,player,Kolkata Knight Riders,G Gambhir
info,player,Kolkata Knight Riders,MK Tiwary
info,player,Kolkata Knight Riders,YK Pathan
info,player,Kolkata Knight Riders,MV Boucher
info,player,Kolkata Knight Riders,R Bhatia
info,player,Kolkata Knight Riders,Iqbal Abdulla
info,player,Kolkata Knight Riders,B Lee
info,player,Kolkata Knight Riders,L Balaji
info,player,Kolkata Knight Riders,JD Unadkat
info,player,Royal Challengers Bangalore,CH Gayle
info,player,Royal Challengers Bangalore,LA Pomersbach
info,player,Royal Challengers Bangalore,V Kohli
info,player,Royal Challengers Bangalore,AB de Villiers
info,player,Royal Challengers Bangalore,M Kaif
info,player,Royal Challengers Bangalore,KB Arun Karthik
info,player,Royal Challengers Bangalore,SS Tiwary
info,player,Royal Challengers Bangalore,A Mithun
info,player,Royal Challengers Bangalore,Z Khan
info,player,Royal Challengers Bangalore,S Aravind
info,player,Royal Challengers Bangalore,CK Langeveldt
info,registry,people,A Mithun,66cf56a5
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,B Lee,dd09ff8e
info,registry,people,CH Gayle,db584dad
info,registry,people,CK Langeveldt,d1c94b25
info,registry,people,CK Nandan,012de9c4
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,G Gambhir,bb345e0b
info,registry,people,Iqbal Abdulla,85aae393
info,registry,people,JD Unadkat,1e66c162
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,KB Arun Karthik,7daedf2f
info,registry,people,L Balaji,b2b50355
info,registry,people,LA Pomersbach,b63ab531
info,registry,people,M Kaif,d84378a4
info,registry,people,MK Tiwary,26e5cabf
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,R Bhatia,33a364a6
info,registry,people,RB Tiffin,89087a0d
info,registry,people,RE Koertzen,0265fab2
info,registry,people,S Aravind,957532de
info,registry,people,SS Hazare,166e5081
info,registry,people,SS Tiwary,709b0bac
info,registry,people,V Kohli,ba607b88
info,registry,people,YK Pathan,3c6ffae8
info,registry,people,Z Khan,91a4a398
