version,2.1.0
info,balls_per_over,6
info,team,Australia
info,team,Sri Lanka
info,gender,male
info,season,2007/08
info,date,2008/02/08
info,event,Commonwealth Bank Series
info,match_number,3
info,venue,Sydney Cricket Ground
info,city,
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,NW Bracken
info,umpire,AL Hill
info,umpire,SJA Taufel
info,reserve_umpire,GA Abood
info,tv_umpire,PD Parker
info,match_referee,JJ Crowe
info,winner,Australia
info,winner_runs,128
info,player,Australia,AC Gilchrist
info,player,Australia,ML Hayden
info,player,Australia,RT Ponting
info,player,Australia,MJ Clarke
info,player,Australia,A Symonds
info,player,Australia,MEK Hussey
info,player,Australia,JR Hopes
info,player,Australia,B Lee
info,player,Australia,NW Bracken
info,player,Australia,GB Hogg
info,player,Australia,MG Johnson
info,player,Sri Lanka,WU Tharanga
info,player,Sri Lanka,ST Jayasuriya
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,LPC Silva
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,CK Kapugedera
info,player,Sri Lanka,WPUJC Vaas
info,player,Sri Lanka,SL Malinga
info,player,Sri Lanka,M Muralitharan
info,player,Sri Lanka,MKDI Amerasinghe
info,registry,people,A Symonds,bd77eb62
info,registry,people,AC Gilchrist,2b6e6dec
info,registry,people,AL Hill,4165ced0
info,registry,people,B Lee,dd09ff8e
info,registry,people,CK Kapugedera,cfad138c
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,GA Abood,a4af5528
info,registry,people,GB Hogg,f708a0bc
info,registry,people,JJ Crowe,2e760301
info,registry,people,JR Hopes,2498e163
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,LPC Silva,1be70c88
info,registry,people,M Muralitharan,4ba44e19
info,registry,people,MEK Hussey,48fd7349
info,registry,people,MG Johnson,f5180fe6
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,MKDI Amerasinghe,11ce1151
info,registry,people,ML Hayden,d8699ab7
info,registry,people,NW Bracken,4c61a0f9
info,registry,people,PD Parker,439aa572
info,registry,people,RT Ponting,7d415ea5
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,SL Malinga,a12e1d51
info,registry,people,ST Jayasuriya,f233bbb4
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,WPUJC Vaas,bcce309e
info,registry,people,WU Tharanga,7ed9fd56
