version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Australia
info,gender,male
info,season,2005/06
info,date,2006/04/28
info,event,Australia in Bangladesh ODI Series
info,match_number,3
info,venue,Narayanganj Osmani Stadium
info,city,Fatullah
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,MJ Cosgrove
info,umpire,IL Howell
info,umpire,Nadir Shah
info,tv_umpire,AFM Akhtaruddin
info,match_referee,JJ Crowe
info,winner,Australia
info,winner_wickets,9
info,player,Australia,MJ Cosgrove
info,player,Australia,SM Katich
info,player,Australia,GB Hogg
info,player,Australia,MJ Clarke
info,player,Australia,A Symonds
info,player,Australia,MEK Hussey
info,player,Australia,JR Hopes
info,player,Australia,AC Gilchrist
info,player,Australia,BR Dorey
info,player,Australia,DJ Cullen
info,player,Australia,MG Johnson
info,player,Bangladesh,Shahriar Nafees
info,player,Bangladesh,Rajin Saleh
info,player,Bangladesh,Aftab Ahmed
info,player,Bangladesh,Mohammad Ashraful
info,player,Bangladesh,Habibul Bashar
info,player,Bangladesh,Alok Kapali
info,player,Bangladesh,Khaled Mashud
info,player,Bangladesh,Mohammad Rafique
info,player,Bangladesh,Mashrafe Mortaza
info,player,Bangladesh,Abdur Razzak
info,player,Bangladesh,Shahadat Hossain
info,registry,people,A Symonds,bd77eb62
info,registry,people,AC Gilchrist,2b6e6dec
info,registry,people,AFM Akhtaruddin,b786b38f
info,registry,people,Abdur Razzak,888e32bf
info,registry,people,Aftab Ahmed,53bc7b84
info,registry,people,Alok Kapali,54279e23
info,registry,people,BR Dorey,8d6a0fbc
info,registry,people,DJ Cullen,51de2a80
info,registry,people,GB Hogg,f708a0bc
info,registry,people,Habibul Bashar,e74ad9ea
info,registry,people,IL Howell,c1cd91c3
info,registry,people,JJ Crowe,2e760301
info,registry,people,JR Hopes,2498e163
info,registry,people,Khaled Mashud,ade071c5
info,registry,people,MEK Hussey,48fd7349
info,registry,people,MG Johnson,f5180fe6
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,MJ Cosgrove,be768595
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mohammad Ashraful,2bb09eb2
info,registry,people,Mohammad Rafique,7ff3fcaa
info,registry,people,Nadir Shah,3515389d
info,registry,people,Rajin Saleh,acc321aa
info,registry,people,SM Katich,fdedb37c
info,registry,people,Shahadat Hossain,090f9211
info,registry,people,Shahriar Nafees,b9c225c2
