version,2.1.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Netherlands
info,gender,male
info,season,2019/20
info,date,2019/10/29
info,event,ICC Men's T20 World Cup Qualifier
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,BD Glover
info,umpire,LE Hannibal
info,umpire,R Black
info,reserve_umpire,Ahmed Shah Pakteen
info,match_referee,GH Pienaar
info,winner,Netherlands
info,winner_wickets,8
info,player,United Arab Emirates,Rohan Mustafa
info,player,United Arab Emirates,Zawar Farid
info,player,United Arab Emirates,Rameez Shahzad
info,player,United Arab Emirates,Muhammad Usman
info,player,United Arab Emirates,DDP D'Silva
info,player,United Arab Emirates,Waheed Ahmed
info,player,United Arab Emirates,Mohammad Boota
info,player,United Arab Emirates,Ahmed Raza
info,player,United Arab Emirates,Sultan Ahmed (2)
info,player,United Arab Emirates,Junaid Siddique (2)
info,player,United Arab Emirates,Zahoor Khan
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,BN Cooper
info,player,Netherlands,CN Ackermann
info,player,Netherlands,RN ten Doeschate
info,player,Netherlands,PM Seelaar
info,player,Netherlands,RE van der Merwe
info,player,Netherlands,SA Edwards
info,player,Netherlands,T van der Gugten
info,player,Netherlands,FJ Klaassen
info,player,Netherlands,PA van Meekeren
info,player,Netherlands,BD Glover
info,registry,people,Ahmed Raza,79b4839e
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,BD Glover,0dbe27b8
info,registry,people,BN Cooper,634a7b21
info,registry,people,CN Ackermann,e734d090
info,registry,people,DDP D'Silva,07b6f54c
info,registry,people,FJ Klaassen,c042b412
info,registry,people,GH Pienaar,3516e46b
info,registry,people,Junaid Siddique (2),84dc72db
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,MP O'Dowd,b699df47
info,registry,people,Mohammad Boota,39713d08
info,registry,people,Muhammad Usman,45642393
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,PM Seelaar,abbdca1a
info,registry,people,R Black,156c8fb1
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RN ten Doeschate,4ec07775
info,registry,people,Rameez Shahzad,e045c165
info,registry,people,Rohan Mustafa,d1988788
info,registry,people,SA Edwards,b59db04f
info,registry,people,Sultan Ahmed (2),07687c15
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,Waheed Ahmed,3df3f50b
info,registry,people,Zahoor Khan,f0e293b0
info,registry,people,Zawar Farid,d07dbc28
