version,2.1.0
info,balls_per_over,6
info,team,Scotland
info,team,Kenya
info,gender,male
info,season,2008
info,date,2008/08/12
info,event,Kenya in Scotland ODI Series
info,match_number,1
info,venue,Cambusdoon New Ground
info,city,Ayr
info,toss_winner,Scotland
info,toss_decision,field
info,umpire,PK Baldwin
info,umpire,SJA Taufel
info,reserve_umpire,JMB McClymont
info,match_referee,RS Mahanama
info,outcome,no result
info,player,Kenya,DO Obuya
info,player,Kenya,KO Otieno
info,player,Kenya,AA Obanda
info,player,Kenya,SO Tikolo
info,player,Kenya,MA Ouma
info,player,Kenya,TM Odoyo
info,player,Kenya,JK Kamande
info,player,Kenya,AO Suji
info,player,Kenya,PJ Ongondo
info,player,Kenya,HA Varaiya
info,player,Kenya,E Otieno
info,player,Scotland,GM Hamilton
info,player,Scotland,RR Watson
info,player,Scotland,MQ Sheikh
info,player,Scotland,DF Watts
info,player,Scotland,NFI McCallum
info,player,Scotland,RD Berrington
info,player,Scotland,JAR Blain
info,player,Scotland,GD Drummond
info,player,Scotland,JD Nel
info,player,Scotland,CJO Smith
info,player,Scotland,CM Wright
info,registry,people,AA Obanda,7081491e
info,registry,people,AO Suji,b15eaf77
info,registry,people,CJO Smith,c46e9e56
info,registry,people,CM Wright,008589a4
info,registry,people,DF Watts,ad733e72
info,registry,people,DO Obuya,6ed3d5ac
info,registry,people,E Otieno,c57fa67e
info,registry,people,GD Drummond,5b8fffb4
info,registry,people,GM Hamilton,8187519b
info,registry,people,HA Varaiya,eeeebf82
info,registry,people,JAR Blain,e662b18f
info,registry,people,JD Nel,7c7303eb
info,registry,people,JK Kamande,270b3f8e
info,registry,people,JMB McClymont,a4b05e45
info,registry,people,KO Otieno,fbaa61d2
info,registry,people,MA Ouma,0939c670
info,registry,people,MQ Sheikh,fb16f6e7
info,registry,people,NFI McCallum,ef5cbaf6
info,registry,people,PJ Ongondo,27cc4361
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,RR Watson,a670d624
info,registry,people,RS Mahanama,57910393
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,SO Tikolo,00d69fa4
info,registry,people,TM Odoyo,2c13defe
