version,2.1.0
info,balls_per_over,6
info,team,Ireland
info,team,Netherlands
info,gender,male
info,season,2015/16
info,date,2016/03/13
info,event,World T20
info,match_number,11
info,venue,Himachal Pradesh Cricket Association Stadium
info,city,Dharamsala
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,PA van Meekeren
info,umpire,NJ Llong
info,umpire,S Ravi
info,reserve_umpire,CB Gaffaney
info,tv_umpire,RJ Tucker
info,match_referee,AJ Pycroft
info,winner,Netherlands
info,winner_runs,12
info,player,Ireland,WTS Porterfield
info,player,Ireland,PR Stirling
info,player,Ireland,KJ O'Brien
info,player,Ireland,GC Wilson
info,player,Ireland,NJ O'Brien
info,player,Ireland,AD Poynter
info,player,Ireland,MC Sorensen
info,player,Ireland,GH Dockrell
info,player,Ireland,AR McBrine
info,player,Ireland,TJ Murtagh
info,player,Ireland,WB Rankin
info,player,Netherlands,SJ Myburgh
info,player,Netherlands,TLW Cooper
info,player,Netherlands,RE van der Merwe
info,player,Netherlands,W Barresi
info,player,Netherlands,PW Borren
info,player,Netherlands,Mudassar Bukhari
info,player,Netherlands,BN Cooper
info,player,Netherlands,PM Seelaar
info,player,Netherlands,Ahsan Malik
info,player,Netherlands,T van der Gugten
info,player,Netherlands,PA van Meekeren
info,registry,people,AD Poynter,b98cdbf0
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AR McBrine,e957b38f
info,registry,people,Ahsan Malik,96503059
info,registry,people,BN Cooper,634a7b21
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,GC Wilson,05de1a5a
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,KJ O'Brien,243431b5
info,registry,people,MC Sorensen,3f18724b
info,registry,people,Mudassar Bukhari,37312a74
info,registry,people,NJ Llong,573fb985
info,registry,people,NJ O'Brien,84826f48
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,PM Seelaar,abbdca1a
info,registry,people,PR Stirling,cf494ffe
info,registry,people,PW Borren,91052c96
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RJ Tucker,38810cfc
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SJ Myburgh,18261c22
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,TJ Murtagh,c89474d1
info,registry,people,TLW Cooper,2318ba22
info,registry,people,W Barresi,0d677597
info,registry,people,WB Rankin,29b89ae8
info,registry,people,WTS Porterfield,ec02b798
