version,2.1.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Ireland
info,gender,male
info,season,2015/16
info,date,2016/02/14
info,event,Ireland in United Arab Emirates T20I Series
info,match_number,1
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,umpire,Iftikhar Ali
info,umpire,Rabiul Hoque
info,reserve_umpire,Akbar Ali
info,match_referee,D Govindjee
info,winner,Ireland
info,winner_runs,34
info,player,Ireland,WTS Porterfield
info,player,Ireland,PR Stirling
info,player,Ireland,SW Poynter
info,player,Ireland,GC Wilson
info,player,Ireland,NJ O'Brien
info,player,Ireland,KJ O'Brien
info,player,Ireland,AR McBrine
info,player,Ireland,MC Sorensen
info,player,Ireland,TJ Murtagh
info,player,Ireland,WB Rankin
info,player,Ireland,CA Young
info,player,United Arab Emirates,Rohan Mustafa
info,player,United Arab Emirates,Mohammad Shahzad (2)
info,player,United Arab Emirates,Shaiman Anwar
info,player,United Arab Emirates,Muhammad Usman
info,player,United Arab Emirates,SP Patil
info,player,United Arab Emirates,Amjad Javed
info,player,United Arab Emirates,Saqlain Haider
info,player,United Arab Emirates,Fahad Tariq
info,player,United Arab Emirates,Mohammad Naveed
info,player,United Arab Emirates,Zaheer Maqsood
info,player,United Arab Emirates,Qadeer Ahmed
info,registry,people,AR McBrine,e957b38f
info,registry,people,Akbar Ali,e753931d
info,registry,people,Amjad Javed,18eaf2fa
info,registry,people,CA Young,bd0a4a7d
info,registry,people,D Govindjee,8b4c4069
info,registry,people,Fahad Tariq,29f0e3c3
info,registry,people,GC Wilson,05de1a5a
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,KJ O'Brien,243431b5
info,registry,people,MC Sorensen,3f18724b
info,registry,people,Mohammad Naveed,4861d29b
info,registry,people,Mohammad Shahzad (2),4c7df2c8
info,registry,people,Muhammad Usman,45642393
info,registry,people,NJ O'Brien,84826f48
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Qadeer Ahmed,9ac1dc9f
info,registry,people,Rabiul Hoque,8f770e34
info,registry,people,Rohan Mustafa,d1988788
info,registry,people,SP Patil,f5c198fb
info,registry,people,SW Poynter,cdf59953
info,registry,people,Saqlain Haider,c020cef5
info,registry,people,Shaiman Anwar,e9630504
info,registry,people,TJ Murtagh,c89474d1
info,registry,people,WB Rankin,29b89ae8
info,registry,people,WTS Porterfield,ec02b798
info,registry,people,Zaheer Maqsood,52e8dd6b
