version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,West Indies
info,gender,male
info,season,2006/07
info,date,2006/12/13
info,event,West Indies in Pakistan ODI Series
info,match_number,4
info,venue,Multan Cricket Stadium
info,city,
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,MN Samuels
info,umpire,NJ Llong
info,umpire,Zameer Haider
info,reserve_umpire,Mian Mohammad Aslam
info,tv_umpire,Riazuddin
info,match_referee,AG Hurst
info,winner,West Indies
info,winner_wickets,7
info,player,Pakistan,Imran Farhat
info,player,Pakistan,Shahid Afridi
info,player,Pakistan,Yasir Hameed
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Shoaib Malik
info,player,Pakistan,Faisal Iqbal
info,player,Pakistan,Abdul Razzaq
info,player,Pakistan,Kamran Akmal
info,player,Pakistan,Naved-ul-Hasan
info,player,Pakistan,Mohammad Sami
info,player,Pakistan,Iftikhar Anjum
info,player,West Indies,CH Gayle
info,player,West Indies,S Chanderpaul
info,player,West Indies,LMP Simmons
info,player,West Indies,MN Samuels
info,player,West Indies,BC Lara
info,player,West Indies,DR Smith
info,player,West Indies,RS Morton
info,player,West Indies,D Ramdin
info,player,West Indies,IDR Bradshaw
info,player,West Indies,DBL Powell
info,player,West Indies,D Mohammed
info,registry,people,AG Hurst,ad7945c6
info,registry,people,Abdul Razzaq,390ff45b
info,registry,people,BC Lara,d5403021
info,registry,people,CH Gayle,db584dad
info,registry,people,D Mohammed,77079be1
info,registry,people,D Ramdin,d1523761
info,registry,people,DBL Powell,83904270
info,registry,people,DR Smith,35205dfc
info,registry,people,Faisal Iqbal,267269e1
info,registry,people,IDR Bradshaw,a7489342
info,registry,people,Iftikhar Anjum,6adf9347
info,registry,people,Imran Farhat,480ed517
info,registry,people,Kamran Akmal,ff077124
info,registry,people,LMP Simmons,89f64c19
info,registry,people,MN Samuels,f846de6a
info,registry,people,Mian Mohammad Aslam,c429c5fa
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Sami,68ddabdb
info,registry,people,NJ Llong,573fb985
info,registry,people,Naved-ul-Hasan,33f28243
info,registry,people,RS Morton,2f8a9682
info,registry,people,Riazuddin,08f088e3
info,registry,people,S Chanderpaul,881a9bdd
info,registry,people,Shahid Afridi,0dc00542
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Yasir Hameed,f144d99b
info,registry,people,Zameer Haider,5537565f
