version,2.1.0
info,balls_per_over,6
info,team,Ireland
info,team,India
info,gender,male
info,season,2007
info,date,2007/06/23
info,venue,"Civil Service Cricket Club, Stormont"
info,city,Belfast
info,toss_winner,India
info,toss_decision,field
info,player_of_match,G Gambhir
info,umpire,MR Benson
info,umpire,BF Bowden
info,reserve_umpire,M Hawthorne
info,tv_umpire,Aleem Dar
info,match_referee,AG Hurst
info,winner,India
info,winner_wickets,9
info,method,D/L
info,player,India,SC Ganguly
info,player,India,SR Tendulkar
info,player,India,G Gambhir
info,player,India,R Dravid
info,player,India,Yuvraj Singh
info,player,India,KD Karthik
info,player,India,RG Sharma
info,player,India,AB Agarkar
info,player,India,RP Singh
info,player,India,PP Chawla
info,player,India,S Sreesanth
info,player,Ireland,WTS Porterfield
info,player,Ireland,KED Carroll
info,player,Ireland,DI Joyce
info,player,Ireland,NJ O'Brien
info,player,Ireland,GC Wilson
info,player,Ireland,KJ O'Brien
info,player,Ireland,AR White
info,player,Ireland,DT Johnston
info,player,Ireland,WK McCallan
info,player,Ireland,MJ Fourie
info,player,Ireland,RK Whelan
info,registry,people,AB Agarkar,fa463154
info,registry,people,AG Hurst,ad7945c6
info,registry,people,AR White,f27f89e8
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BF Bowden,efc0a862
info,registry,people,DI Joyce,fd67a507
info,registry,people,DT Johnston,e01895bb
info,registry,people,G Gambhir,bb345e0b
info,registry,people,GC Wilson,05de1a5a
info,registry,people,KD Karthik,c03f1114
info,registry,people,KED Carroll,b3e9b7fa
info,registry,people,KJ O'Brien,243431b5
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,MJ Fourie,7a4819e1
info,registry,people,MR Benson,790e14d3
info,registry,people,NJ O'Brien,84826f48
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Dravid,0184dc35
info,registry,people,RG Sharma,740742ef
info,registry,people,RK Whelan,06e649a0
info,registry,people,RP Singh,c3d1402f
info,registry,people,S Sreesanth,6b8eb6e5
info,registry,people,SC Ganguly,725529bc
info,registry,people,SR Tendulkar,d2c2b2d5
info,registry,people,WK McCallan,c942a53b
info,registry,people,WTS Porterfield,ec02b798
info,registry,people,Yuvraj Singh,1c914163
