Ov,T,S,Sv
0.0,Start of Warriors Innings.,,
0.1,"NEW BALL. Lizaad Williams to Lesiba Ngoepe. Length ball, defending, Played to point for no runs.",Dot ball,0
0.2,"Lizaad Williams to Lesiba Ngoepe. Length ball, pushing, Edged to short mid wicket for 1 run.",One run,1
0.3,"Lizaad Williams to Wihan Lubbe. Length ball, shoulders arms, for no runs, fielded by Twala.",Dot ball,0
0.3,"No ball Lizaad Williams to Wihan Lubbe. Length ball, defending, Played to silly point and it was a no ball.",No ball,nb
0.4,"Lizaad Williams to Wihan Lubbe. Length ball, flick, Played to mid wicket for no runs.",Dot ball,0
0.5,"Lizaad Williams to Wihan Lubbe. Length ball, shoulders arms, past third man for 4 runs.",Bye,b
0.6,"Lizaad Williams to Wihan Lubbe. Length ball, dropped, Played to point for no runs.",Dot ball,0
1.0,Over 1. 6 runs. Bowler: Lizaad Williams. Warriors: 6/0(rr 6.00),End of over,
1.1,"Corbin Bosch to Lesiba Ngoepe. Length ball, shoulders arms, for no runs, fielded by Twala.",Dot ball,0
1.2,"Corbin Bosch to Lesiba Ngoepe. Length ball, shoulders arms, for no runs, fielded by Twala.",Dot ball,0
1.3,"Corbin Bosch to Lesiba Ngoepe. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
1.4,"Corbin Bosch to Lesiba Ngoepe. Length ball, Leave, for no runs, fielded by Twala.",Dot ball,0
1.5,"Corbin Bosch to Lesiba Ngoepe. Length ball, shoulders arms, for no runs, fielded by Twala.",Dot ball,0
1.6,"Corbin Bosch to Lesiba Ngoepe. Length ball, shoulders arms, for no runs, fielded by Twala.",Dot ball,0
2.0,Over 2. no runs. Bowler: Corbin Bosch. Warriors: 6/0(rr 3.00),End of over,
2.1,"Lizaad Williams to Wihan Lubbe. Length ball, defending, Played to silly point for no runs.",Dot ball,0
2.2,"Lizaad Williams to Wihan Lubbe. Half volley, pushing, Played to deep backward point for 3 runs.",Three runs,3
2.3,"Lizaad Williams to Lesiba Ngoepe. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
2.4,"Lizaad Williams to Lesiba Ngoepe. Length ball, defending, missed for no runs, fielded by Twala.",Dot ball,0
2.5,"Lizaad Williams to Lesiba Ngoepe. Length ball, pushing, mis-timed to extra cover for no runs.",Dot ball,0
2.6,"Lizaad Williams to Lesiba Ngoepe. Back of a length, flick, Played to mid wicket for no runs.",Dot ball,0
