Ov,T,S,Sv
0.0,"Start of India Innings. Hello and welcome to the third Test between India and Australia, live from Holkar Cricket Stadium, Indore. India have won two games in this series, and they will look for a series win. The visitors might have a different strategy to avoid their continuous defeat. India have won the toss and opted to bat first. Here we go.",,
0.1,"NEW BALL. APPEAL! Mitchell Starc to Rohit Sharma. Length ball, off stump on the front foot defending, missed for no runs, caught by Carey, appeal made for Caught.  An appeal straightaway.",Dot ball,0
0.2,"Mitchell Starc to Rohit Sharma. Full toss, to leg on the front foot flick, to square leg for no runs, fielded by Kuhnemann.",Dot ball,0
0.3,"Mitchell Starc to Rohit Sharma. Length ball, outside off stump on the front foot shoulders arms, Left for no runs, fielded by Carey.",Dot ball,0
0.4,"APPEAL! Mitchell Starc to Rohit Sharma. Length ball, middle stump on the front foot defending, hit pad for no runs, fielded by Carey, appeal made for L.B.W.  Another strong shout, but the umpire is not interested.",Dot ball,0
0.5,"FOUR! Mitchell Starc to Rohit Sharma. In-swinging half volley, to leg on the front foot flick, well timed past deep backward square leg for 4 runs.",Four runs,4
0.6,"Mitchell Starc to Rohit Sharma. Back of a length, to leg on the back foot working, to short mid wicket for no runs, fielded by Kuhnemann.",Dot ball,0
1.0,Over 1. 4 runs. Bowler: Mitchell Starc. India: 4/0(rr 4.00),End of over,
1.1,"Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot defending, to short extra cover for no runs, fielded by Head.",Dot ball,0
1.2,"FOUR! Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot driving, well timed past deep extra cover for 4 runs.",Four runs,4
1.3,"Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot Leave, Left for no runs, fielded by Carey.",Dot ball,0
1.4,"Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot flick, leading edge to deep extra cover for 2 runs, fielded by Head.",Two runs,2
1.5,"Cameron Green to Shubman Gill. Length ball, outside off stump no foot movement Leave, Left for no runs, fielded by Carey.",Dot ball,0
1.6,"Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot defending, to short extra cover for no runs, fielded by Head.",Dot ball,0
2.0,Over 2. 6 runs. Bowler: Cameron Green. India: 10/0(rr 5.00),End of over,
2.1,"Mitchell Starc to Rohit Sharma. Length ball, off stump on the front foot defending, to mid on for no runs, fielded by Murphy.",Dot ball,0
2.2,"Mitchell Starc to Rohit Sharma. Length ball, outside off stump on the front foot shoulders arms, Left for no runs, fielded by Carey.",Dot ball,0
2.3,"Mitchell Starc to Rohit Sharma. Seaming away length ball, off stump on the front foot defending, missed for no runs, fielded by Carey.",Dot ball,0
2.4,"Mitchell Starc to Rohit Sharma. Back of a length, outside off stump on the back foot driving, missed for no runs, fielded by Carey.",Dot ball,0
2.5,"FOUR! Mitchell Starc to Rohit Sharma. Back of a length, outside off stump on the back foot cutting, well timed past deep cover for 4 runs.",Four runs,4
2.6,"Mitchell Starc to Rohit Sharma. Length ball, to leg on the front foot defending, outside edge to first slip for no runs, mis-fielded by Handscomb, fielded by Carey.",Dot ball,0
3.0,Over 3. 4 runs. Bowler: Mitchell Starc. India: 14/0(rr 4.67),End of over,
3.1,"Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot driving, missed for no runs, fielded by Carey.",Dot ball,0
3.2,"FOUR! Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot driving, thick edge in the air uncontrolled past third man for 4 runs.",Four runs,4
3.3,"Cameron Green to Shubman Gill. Length ball, outside off stump down the track driving, to mid off for no runs, fielded by Head.",Dot ball,0
3.4,"Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot working, to mid on for no runs, fielded by Murphy.",Dot ball,0
3.5,"FOUR! Cameron Green to Shubman Gill. Length ball, outside off stump down the track driving, well timed past deep cover for 4 runs.",Four runs,4
3.6,"Cameron Green to Shubman Gill. Length ball, outside off stump on the front foot defending, back to bowler for no runs.",Dot ball,0
4.0,Over 4. 8 runs. Bowler: Cameron Green. India: 22/0(rr 5.50),End of over,
4.1,"Mitchell Starc to Rohit Sharma. Length ball, outside off stump on the front foot pushing, to extra cover for no runs, fielded by Head.",Dot ball,0
4.2,"Mitchell Starc to Rohit Sharma. Length ball, middle stump on the front foot defending, to short mid wicket for no runs, fielded by Murphy.",Dot ball,0
4.3,"FOUR! Mitchell Starc to Rohit Sharma. Length ball, outside off stump on the front foot driving, well timed in the air under control past deep extra cover for 4 runs.",Four runs,4
4.4,"Mitchell Starc to Rohit Sharma. Length ball, outside off stump no foot movement Leave, Left for no runs, fielded by Carey.",Dot ball,0
4.5,"Mitchell Starc to Rohit Sharma. Length ball, outside off stump on the front foot driving, missed for no runs, fielded by Carey.",Dot ball,0
4.6,"Mitchell Starc to Rohit Sharma. Length ball, outside off stump on the front foot defending, to backward point for no runs, fielded by Lyon.",Dot ball,0
5.0,Over 5. 4 runs. Bowler: Mitchell Starc. India: 26/0(rr 5.20),End of over,
5.1,"Matthew Kuhnemann to Shubman Gill. Stock length ball, middle stump on the back foot working, to mid on for 1 run, fielded by Lyon.",One run,1
5.2,"Matthew Kuhnemann to Rohit Sharma. Stock length ball, middle stump on the back foot working, to mid on for no runs, fielded by Lyon.",Dot ball,0
5.3,"Matthew Kuhnemann to Rohit Sharma. Stock length ball, off stump on the front foot defending, missed for no runs, fielded by Carey.",Dot ball,0
5.4,"Matthew Kuhnemann to Rohit Sharma. Stock length ball, off stump on the front foot sweeping, missed for no runs, fielded by Carey, fielded by Labuschagne.",Dot ball,0
5.5,"Matthew Kuhnemann to Rohit Sharma. Stock length ball, off stump on the front foot defending, to point for no runs, fielded by Head.",Dot ball,0
5.6,"OUT! Stumped. Matthew Kuhnemann to Rohit Sharma. Stock length ball, off stump down the track Slog, missed, by Carey. Matthew Kuhnemann draws the first blood.",Wicket,W
6.0,Over 6. 1 run. Bowler: Matthew Kuhnemann. India: 27/1(rr 4.50),End of over,
6.1,"Mitchell Starc to Shubman Gill. Back of a length, to leg on the back foot defending, to silly mid on for no runs.",Dot ball,0
6.2,"Mitchell Starc to Shubman Gill. Back of a length, to leg on the back foot working, to mid on for 5 runs, shy attempt by Murphy, mis-fielded by Labuschagne.",Five runs,5
6.3,"Mitchell Starc to Cheteshwar Pujara. Length ball, middle stump on the front foot defending, to mid off for no runs, fielded by Head.",Dot ball,0
6.4,"Mitchell Starc to Cheteshwar Pujara. Length ball, outside off stump on the front foot defending, to mid off for no runs, fielded by Head.",Dot ball,0
6.5,"Mitchell Starc to Cheteshwar Pujara. Back of a length, down leg side on the back foot glancing, to fine leg for 1 run, fielded by Green.",One run,1
